"X","Area","Perim.","Major","Minor","Predicted_Brand"
23187,161129.719,1500.456,456.342,449.568,"BL-C(2)"
23605,211176.83,1708.631,520.555,516.523,"BL-C(2)"
24011,406370.551,2396.673,747.302,692.367,"H335"
23188,167922.541,1524.586,475.692,449.463,"BL-C(2)"
24009,412064.533,2396.673,744.784,704.441,"H335"
23567,477045.862,2567.294,791.322,767.568,"H335"
23962,341888.695,2211.918,702.096,620.01,"H335"
23453,372006.866,2263.901,691.815,684.654,"H335"
23874,327503.896,2127.11,658.405,633.335,"BL-C(2)"
23392,307525.01,2081.276,661.578,591.847,"H335"
23748,292940.423,2024.738,619.572,602.002,"BL-C(2)"
23845,288145.49,2013.028,649.037,565.265,"H335"
23254,270214.44,1948.21,590.678,582.462,"BL-C(2)"
23495,378749.74,2316.005,715.975,673.542,"H335"
23397,322209.492,2144.674,663.629,618.191,"H335"
23808,285348.446,2022.313,638.394,569.111,"H335"
23696,266917.923,1926.505,598.492,567.845,"BL-C(2)"
24003,388489.447,2326,735.207,672.791,"H335"
23697,274210.217,1954.775,598.81,583.048,"BL-C(2)"
23691,268566.181,1929.935,596.456,573.302,"BL-C(2)"
23623,221216.22,1753.46,550.752,511.412,"BL-C(2)"
23673,270564.07,1928.22,590.449,583.442,"BL-C(2)"
23284,273910.534,1952.35,609.051,572.618,"BL-C(2)"
23637,218169.44,1741.75,560.427,495.661,"H335"
23525,414961.472,2405.958,739.835,714.139,"H335"
23588,148093.496,1434.633,451.526,417.603,"BL-C(2)"
23802,299883.086,2047.152,636.131,600.227,"H335"
23206,207930.261,1699.346,526.644,502.702,"BL-C(2)"
23882,334346.665,2144.674,661.461,643.581,"BL-C(2)"
23406,343237.27,2191.218,668.662,653.579,"BL-C(2)"
23663,250934.814,1890.666,581.895,549.068,"BL-C(2)"
23551,427198.54,2456.642,759.804,715.877,"H335"
23371,328452.894,2131.25,651.46,641.942,"BL-C(2)"
23829,301831.027,2063.712,644.663,596.131,"H335"
23888,311970.312,2108.835,662.929,599.179,"H335"
23487,358870.748,2224.338,711.127,642.541,"H335"
23267,266018.873,1919.94,597.002,567.344,"BL-C(2)"
24039,461012.805,2752.638,799.258,734.406,"Bullseye"
23899,323358.278,2112.265,667.344,616.942,"H335"
23344,296137.045,2040.587,637.314,591.629,"H335"
23815,297135.989,2049.577,640.051,591.086,"H335"
24048,494527.387,2660.382,822.457,765.574,"Bullseye"
23804,276357.947,1980.913,637.119,552.283,"H335"
23523,421304.768,2417.373,737.967,726.891,"H335"
23699,273061.431,1950.635,600.412,579.057,"BL-C(2)"
23386,298584.458,2034.732,658.589,577.249,"H335"
23611,219867.646,1737.61,532.351,525.864,"BL-C(2)"
23886,311071.262,2087.131,662.676,597.68,"H335"
23910,344136.319,2198.788,671.663,652.363,"BL-C(2)"
23680,270713.912,1938.215,592.713,581.535,"BL-C(2)"
23686,267117.712,1922.365,595.103,571.506,"BL-C(2)"
23905,329202.102,2139.53,669.059,626.482,"H335"
23579,513357.488,2684.805,825.556,791.742,"Bullseye"
23353,295138.1,2032.307,641.408,585.87,"H335"
23998,369809.189,2286.021,728.624,646.226,"H335"
23991,387640.345,2320.856,721.583,683.994,"H335"
23442,337293.551,2169.514,686.095,625.942,"H335"
23540,400426.832,2355.69,750.099,679.696,"H335"
23208,214323.505,1719.336,530.704,514.195,"BL-C(2)"
23718,269914.756,1953.06,608.588,564.694,"H335"
23309,286547.179,2002.323,622.692,585.912,"BL-C(2)"
23351,302879.919,2058.862,640.596,602,"H335"
23478,355973.81,2220.198,705.015,642.88,"H335"
23901,330450.782,2145.385,667.639,630.195,"H335"
23508,376801.799,2290.161,726.726,660.165,"H335"
23446,357672.015,2219.488,687.105,662.784,"BL-C(2)"
23307,280653.408,1976.479,621.692,574.785,"BL-C(2)"
23445,349081.094,2231.197,686.777,647.173,"H335"
23801,294938.312,2031.303,635.824,590.615,"H335"
23345,288744.857,2012.318,638.219,576.042,"H335"
23714,264470.51,1924.08,607.708,554.105,"H335"
23308,245740.304,1866.537,622.352,502.748,"H335"
23420,344735.686,2189.504,675.142,650.131,"BL-C(2)"
23644,244042.098,1834.128,567.598,547.437,"BL-C(2)"
23265,269615.073,1934.075,595.425,576.537,"BL-C(2)"
23972,373405.388,2282.591,705.611,673.791,"BL-C(2)"
23575,478644.173,2588.288,811.17,751.296,"H335"
23659,260424.785,1898.236,578.544,573.133,"BL-C(2)"
23257,270863.753,1932.36,592.51,582.056,"BL-C(2)"
23331,273111.378,1960.63,631.693,550.483,"H335"
23296,275309.056,1955.779,616.651,568.448,"BL-C(2)"
23436,317364.612,2124.685,684.146,590.635,"H335"
23402,311970.312,2148.52,667.053,595.474,"H335"
24032,459264.653,2754.058,785.694,744.252,"Bullseye"
23878,329501.785,2141.245,660.781,634.907,"BL-C(2)"
23698,273610.85,1944.78,599.494,581.111,"BL-C(2)"
23597,197341.451,1646.947,505.262,497.292,"BL-C(2)"
23753,285148.657,1998.183,620.073,585.516,"BL-C(2)"
23587,130312.287,1346.396,429.496,386.31,"BL-C(2)"
24013,430195.373,2446.647,747.844,732.428,"BL-C(2)"
23459,359619.956,2240.187,694.06,659.716,"H335"
23533,424051.865,2455.221,745.2,724.53,"H335"
23730,263022.04,1924.08,611.859,547.332,"H335"
23956,350679.405,2207.068,698.754,638.993,"H335"
23203,209328.783,1711.056,521.181,511.388,"BL-C(2)"
23276,252033.653,1870.677,605.298,530.151,"H335"
23514,398728.627,2379.109,732.08,693.472,"H335"
23624,233553.183,1800.004,550.927,539.761,"BL-C(2)"
23433,339341.387,2203.638,682.311,633.234,"H335"
23705,272811.695,1939.93,603.184,575.868,"BL-C(2)"
23237,249486.345,1872.392,568.488,558.773,"BL-C(2)"
23742,289244.329,1996.468,616.953,596.93,"BL-C(2)"
23738,269165.548,1938.925,616.318,556.064,"H335"
23239,242543.682,1834.128,571.785,540.092,"BL-C(2)"
23967,368860.191,2292.586,703.295,667.781,"H335"
23652,239946.427,1825.848,576.163,530.248,"BL-C(2)"
23633,233603.13,1802.429,555.098,535.821,"BL-C(2)"
23470,372905.916,2270.172,698.33,679.906,"BL-C(2)"
23743,279105.044,1974.764,616.966,575.992,"BL-C(2)"
23302,291941.479,2014.743,619.673,599.851,"BL-C(2)"
24052,519251.259,2754.058,897.87,736.333,"Bullseye"
23987,391286.492,2331.855,717.648,694.214,"H335"
23736,286397.338,1989.193,614.972,592.958,"BL-C(2)"
23863,325056.483,2119.541,653.707,633.12,"BL-C(2)"
23709,274509.9,1974.054,605.577,577.163,"BL-C(2)"
23350,304977.702,2062.292,640.075,606.663,"H335"
23583,499022.637,2693.085,833.78,762.042,"Bullseye"
23242,254331.225,1882.387,580.288,558.041,"BL-C(2)"
23684,256828.586,1894.096,593.912,550.594,"H335"
24050,519900.573,2726.499,865.308,764.997,"Bullseye"
23645,248787.084,1855.832,569.678,556.043,"BL-C(2)"
23774,294938.312,2033.018,627.207,598.729,"H335"
23924,351178.877,2225.342,679.517,658.018,"H335"
23228,239197.218,1819.993,558.965,544.855,"BL-C(2)"
23965,377101.482,2296.016,703.15,682.843,"BL-C(2)"
23728,289394.171,2023.023,611.284,602.778,"BL-C(2)"
23729,270514.123,1936.794,611.588,563.172,"H335"
